"","InactivationTemp","InactivationTimeHours","ReproductionTimeMinutes","VirusTiter","PhageType","Surface"
"1",4,0,0,5e+05,"Phix","Control"
"2",4,0,30,1.4e+07,"Phix","Control"
"3",4,0,40,23500000,"Phix","Control"
"4",4,0,50,3e+07,"Phix","Control"
"5",4,0,60,37500000,"Phix","Control"
"6",4,2,0,1500000,"Phix","Control"
"7",4,2,30,9e+06,"Phix","Control"
"8",4,2,40,13500000,"Phix","Control"
"9",4,2,50,2.2e+07,"Phix","Control"
"10",4,2,60,2.6e+07,"Phix","Control"
"11",4,4,0,5e+05,"Phix","Control"
"12",4,4,30,1500000,"Phix","Control"
"13",4,4,40,1.7e+07,"Phix","Control"
"14",4,4,50,26500000,"Phix","Control"
"15",4,4,60,4e+07,"Phix","Control"
"16",4,6,0,1e+06,"Phix","Control"
"17",4,6,30,6500000,"Phix","Control"
"18",4,6,40,9e+06,"Phix","Control"
"19",4,6,50,14500000,"Phix","Control"
"20",4,6,60,21500000,"Phix","Control"
"21",4,8,0,1e+06,"Phix","Control"
"22",4,8,30,3500000,"Phix","Control"
"23",4,8,40,1.4e+07,"Phix","Control"
"24",4,8,50,23500000,"Phix","Control"
"25",4,8,60,39500000,"Phix","Control"
"26",4,0,0,5e+05,"Phix","Copper"
"27",4,0,30,5500000,"Phix","Copper"
"28",4,0,40,1.7e+07,"Phix","Copper"
"29",4,0,50,3.1e+07,"Phix","Copper"
"30",4,0,60,4.1e+07,"Phix","Copper"
"31",4,2,0,1e+06,"Phix","Copper"
"32",4,2,30,1e+06,"Phix","Copper"
"33",4,2,40,9e+06,"Phix","Copper"
"34",4,2,50,1.9e+07,"Phix","Copper"
"35",4,2,60,2.4e+07,"Phix","Copper"
"36",4,4,0,0,"Phix","Copper"
"37",4,4,30,5e+05,"Phix","Copper"
"38",4,4,40,1e+07,"Phix","Copper"
"39",4,4,50,16500000,"Phix","Copper"
"40",4,4,60,2.5e+07,"Phix","Copper"
"41",4,6,0,0,"Phix","Copper"
"42",4,6,30,0,"Phix","Copper"
"43",4,6,40,5e+06,"Phix","Copper"
"44",4,6,50,7e+06,"Phix","Copper"
"45",4,6,60,1e+07,"Phix","Copper"
"46",4,8,0,0,"Phix","Copper"
"47",4,8,30,0,"Phix","Copper"
